miRNA,disease,reference
hsa-miR-10a,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-10a,prostate cancer,miR2Disease
hsa-miR-10a,psoriasis,miR2Disease
hsa-miR-10a,uterine leiomyoma (ULM),miR2Disease
hsa-miR-10b,breast cancer,miR2Disease
hsa-miR-10b,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-10b,cardiac hypertrophy,miR2Disease
hsa-miR-10b,chronic pancreatitis,miR2Disease
hsa-miR-10b,glioblastoma,miR2Disease
hsa-miR-10b,ovarian cancer (OC),miR2Disease
hsa-miR-10b,pancreatic cancer,miR2Disease
hsa-miR-10b,prostate cancer,miR2Disease
hsa-miR-10b,serous ovarian cancer,miR2Disease
hsa-miR-1-2,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-1-2,cardiomyopathy,miR2Disease
hsa-miR-122a,HCV infection,miR2Disease
hsa-miR-122a,metabolic disease,miR2Disease
hsa-miR-122a,breast cancer,miR2Disease
hsa-miR-122a,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-184,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-184,malignant melanoma,miR2Disease
hsa-miR-184,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-185,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-185,bladder cancer,miR2Disease
hsa-miR-185,cardiac hypertrophy,miR2Disease
hsa-miR-185,glioblastoma multiforme (GBM),miR2Disease
hsa-miR-185,kidney cancer,miR2Disease
hsa-miR-185,malignant melanoma,miR2Disease
hsa-miR-130a,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
hsa-miR-130a,miyoshi myopathy (MM),miR2Disease
hsa-miR-130a,nemaline myopathy (NM),miR2Disease
hsa-miR-130a,polymyositis (PM),miR2Disease
hsa-miR-130a-1,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-130b,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-130b,acute myeloid leukemia (AML),miR2Disease
hsa-miR-130b,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-130b-1,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-132,Huntington's disease (HD),miR2Disease
hsa-miR-132,autism spectrum disorder (ASD),miR2Disease
hsa-miR-132,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-139,uterine leiomyoma (ULM),miR2Disease
hsa-miR-132,colorectal cancer,miR2Disease
hsa-miR-302c,malignant melanoma,miR2Disease
hsa-miR-302c*,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-302c*,prostate cancer,miR2Disease
hsa-miR-302d,acute myeloid leukemia (AML),miR2Disease
hsa-miR-302d,malignant melanoma,miR2Disease
hsa-miR-302d,testicular germ cell tumor,miR2Disease
hsa-miR-30a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-30a,uterine leiomyoma (ULM),miR2Disease
hsa-miR-30a-3p,acute myeloid leukemia (AML),miR2Disease
hsa-miR-30a-3p,cardiac hypertrophy,miR2Disease
hsa-miR-30a-3p,dermatomyositis (DM),miR2Disease
hsa-miR-30a-3p,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-30a-3p,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
hsa-miR-30a-3p,miyoshi myopathy (MM),miR2Disease
hsa-miR-30a-3p,nemaline myopathy (NM),miR2Disease
hsa-miR-30a-3p,polymyositis (PM),miR2Disease
hsa-miR-30a-5p,anaplastic thyroid carcinoma (ATC),miR2Disease
hsa-miR-30a-5p,cardiac hypertrophy,miR2Disease
hsa-miR-30a-5p,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-30a-5p,lung cancer,miR2Disease
hsa-miR-200b,cancer,miR2Disease
hsa-miR-30d,primary biliary cirrhosis (PBC),miR2Disease
hsa-miR-30d,schizophrenia,miR2Disease
hsa-miR-30e,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-30e,cardiac hypertrophy,miR2Disease
hsa-miR-30e,schizophrenia,miR2Disease
hsa-miR-30e*,cardiac hypertrophy,miR2Disease
hsa-miR-30e-5p,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-30e-5p,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-30e-5p,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-30e-5p,ovarian cancer (OC),miR2Disease
hsa-miR-30e-5p,psoriasis,miR2Disease
hsa-miR-31,cardiac hypertrophy,miR2Disease
hsa-miR-31,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-31,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-31,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-31,psoriasis,miR2Disease
hsa-miR-32,PFV-1 infection,miR2Disease
hsa-miR-32,colorectal cancer,miR2Disease
hsa-miR-19a,anaplastic thyroid carcinoma (ATC),miR2Disease
hsa-miR-19a,Cowden Syndrome,miR2Disease
hsa-miR-19a,lung cancer,miR2Disease
hsa-miR-19a,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-19a,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-19a,malignant lymphoma,miR2Disease
hsa-miR-19a,malignant melanoma,miR2Disease
hsa-miR-19b,malignant lymphoma,miR2Disease
hsa-miR-19b,prostate cancer,miR2Disease
hsa-miR-19b-2,T-cell leukemia,miR2Disease
hsa-miR-200a,serous ovarian cancer,miR2Disease
hsa-miR-200a,breast cancer,miR2Disease
hsa-miR-200a,cancer,miR2Disease
hsa-miR-200a,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-200a,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-200a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-200a,malignant melanoma,miR2Disease
hsa-miR-200a,psoriasis,miR2Disease
hsa-miR-200b,serous ovarian cancer,miR2Disease
hsa-miR-200b,cholangiocarcinoma,miR2Disease
hsa-miR-24,schizophrenia,miR2Disease
hsa-miR-24-1,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-24-1,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-24-1,colorectal cancer,miR2Disease
hsa-miR-24-1,gastric cancer (stomach cancer),miR2Disease
hsa-miR-24-1,glioblastoma,miR2Disease
hsa-miR-24-1,pancreatic cancer,miR2Disease
hsa-miR-24-1,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-24-1,pituitary adenoma,miR2Disease
hsa-miR-24-2,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-24-2,colorectal cancer,miR2Disease
hsa-miR-24-2,gastric cancer (stomach cancer),miR2Disease
hsa-miR-24-2,glioblastoma,miR2Disease
hsa-miR-24-2,lung cancer,miR2Disease
hsa-miR-24-2,pancreatic cancer,miR2Disease
hsa-miR-24-2,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-25,gastric cancer (stomach cancer),miR2Disease
hsa-miR-25,glioblastoma,miR2Disease
hsa-miR-25,pancreatic cancer,miR2Disease
hsa-miR-25,prostate cancer,miR2Disease
hsa-miR-26a,anaplastic thyroid carcinoma (ATC),miR2Disease
hsa-miR-26a,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-204,malignant melanoma,miR2Disease
hsa-miR-206,breast cancer,miR2Disease
hsa-let-7a,malignant melanoma,miR2Disease
hsa-miR-136,pituitary adenoma,miR2Disease
hsa-miR-210,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
hsa-miR-424,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-140,autism spectrum disorder (ASD),miR2Disease
hsa-miR-200b,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-26a,acute myeloid leukemia (AML),miR2Disease
hsa-miR-30a-5p,ovarian cancer (OC),miR2Disease
hsa-miR-32,lung cancer,miR2Disease
hsa-miR-373,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-154,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-125b,malignant melanoma,miR2Disease
hsa-miR-146b,Becker muscular dystrophy (BMD),miR2Disease
hsa-miR-192-2,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-196b,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-382,nemaline myopathy (NM),miR2Disease
hsa-miR-324-5p,medulloblastoma,miR2Disease
hsa-miR-23a,lupus nephritis,miR2Disease
hsa-let-7b,neurodegeneration,miR2Disease
hsa-miR-30d,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-155,breast cancer,miR2Disease
hsa-miR-210,Acute Promyelocytic Leukemia (APL),miR2Disease
hsa-miR-200b,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-144,thalassemia,miR2Disease
hsa-miR-21,Hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-142-3p,endometriosis,miR2Disease
hsa-miR-19a,medulloblastoma ,miR2Disease
hsa-miR-9*,Huntington's disease (HD),miR2Disease
hsa-miR-17-5p,diffuse large B-cell lymphoma (DLBCL),miR2Disease
cell lines.,,miR2Disease
hsa-miR-19a,medulloblastoma,miR2Disease
hsa-miR-10b,glioma,miR2Disease
hsa-miR-133a,bladder cancer,miR2Disease
hsa-miR-152,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-199a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-21,laryngeal carcinoma,miR2Disease
hsa-miR-21,renal clear cell carcinoma,miR2Disease
hsa-miR-30a-5p,prostate cancer,miR2Disease
hsa-miR-30a-5p,schizophrenia,miR2Disease
hsa-miR-30b,cardiac hypertrophy,miR2Disease
hsa-miR-30b,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-30b,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-30b,malignant melanoma,miR2Disease
hsa-miR-30b,nemaline myopathy (NM),miR2Disease
hsa-miR-30b,prostate cancer,miR2Disease
hsa-miR-30b,schizophrenia,miR2Disease
hsa-miR-30c,cardiac hypertrophy,miR2Disease
hsa-miR-30c,Cerebellar neurodegeneration,miR2Disease
hsa-miR-30c,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-30c,miyoshi myopathy (MM),miR2Disease
hsa-miR-30c,pancreatic cancer,miR2Disease
hsa-miR-30c,prostate cancer,miR2Disease
hsa-miR-30c,psoriasis,miR2Disease
hsa-miR-30c-1,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-30d,acute myeloid leukemia (AML),miR2Disease
hsa-miR-30d,anaplastic thyroid carcinoma (ATC),miR2Disease
hsa-miR-30d,cardiac hypertrophy,miR2Disease
hsa-miR-30d,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-101,glioblastoma multiforme (GBM),miR2Disease
hsa-miR-155,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
"7,12-dimethyl-benz[a]anthrance-induced oral carcinogenesis in Syrian hamster.",,miR2Disease
hsa-miR-15a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-16,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-16,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-17-5p,pulmonary hypertension,miR2Disease
hsa-miR-17-5p,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-18,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-182,lung cancer,miR2Disease
hsa-miR-184,adrenocortical carcinoma,miR2Disease
hsa-miR-18a*,colorectal cancer,miR2Disease
hsa-miR-18a*,squamous carcinoma,miR2Disease
hsa-miR-194,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-195,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-195,bladder cancer,miR2Disease
hsa-miR-195*,Malignant mesothelioma (MM),miR2Disease
hsa-miR-373*,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-373*,ovarian cancer (OC),miR2Disease
hsa-miR-373*,prostate cancer,miR2Disease
hsa-miR-374,acute myeloid leukemia (AML),miR2Disease
hsa-miR-374,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-374,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-374,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-374,malignant melanoma,miR2Disease
hsa-miR-374,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-375,pancreatic cancer,miR2Disease
hsa-miR-375,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-376a,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-376a,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-376a,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
hsa-miR-376a,miyoshi myopathy (MM),miR2Disease
hsa-miR-376a,nemaline myopathy (NM),miR2Disease
hsa-miR-376a,pancreatic cancer,miR2Disease
hsa-miR-376b,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-376b,uterine leiomyoma (ULM),miR2Disease
hsa-miR-377,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-377,uterine leiomyoma (ULM),miR2Disease
hsa-miR-378,cardiac hypertrophy,miR2Disease
hsa-miR-154,facioscapulohumeral muscular dystrophy (FSHD),miR2Disease
hsa-miR-154,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
hsa-miR-154,malignant melanoma,miR2Disease
hsa-miR-154,miyoshi myopathy (MM),miR2Disease
hsa-miR-154,nemaline myopathy (NM),miR2Disease
hsa-miR-154,polymyositis (PM),miR2Disease
hsa-miR-154*,glioblastoma multiforme (GBM),miR2Disease
hsa-miR-155,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-155,diffuse large B-cell lymphoma (DLBCL),miR2Disease
hsa-miR-155,lung cancer,miR2Disease
hsa-miR-155,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-155,myeloproliferative disorder,miR2Disease
hsa-miR-222,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-222,facioscapulohumeral muscular dystrophy (FSHD),miR2Disease
hsa-miR-222,glioblastoma,miR2Disease
hsa-miR-1,coronary artery disease,miR2Disease
hsa-miR-1,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-1,Cerebellar neurodegeneration,miR2Disease
hsa-miR-1,retinitis pigmentosa (RP),miR2Disease
hsa-miR-192-2,pituitary adenoma,miR2Disease
hsa-miR-192-3,pituitary adenoma,miR2Disease
hsa-miR-193a,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-193b,autism spectrum disorder (ASD),miR2Disease
hsa-miR-193b,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-193b,uveal melanoma,miR2Disease
hsa-miR-194,cardiac hypertrophy,miR2Disease
hsa-miR-194,chronic pancreatitis,miR2Disease
hsa-miR-195,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-195,cardiac hypertrophy,miR2Disease
hsa-miR-195,acute myeloid leukemia (AML),miR2Disease
hsa-miR-195,chronic pancreatitis,miR2Disease
hsa-miR-195,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-195,heart failure,miR2Disease
hsa-miR-195,ovarian cancer (OC),miR2Disease
hsa-miR-195,prostate cancer,miR2Disease
hsa-miR-195,schizophrenia,miR2Disease
hsa-miR-196a,breast cancer,miR2Disease
hsa-miR-196a-2,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-20a,pulmonary hypertension,miR2Disease
hsa-miR-210,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-218,prostate cancer,miR2Disease
hsa-miR-200a,meningioma,miR2Disease
hsa-miR-200c,kidney cancer,miR2Disease
hsa-miR-203,pancreatic cancer,miR2Disease
hsa-miR-204,lung cancer,miR2Disease
hsa-miR-205,prostate cancer,miR2Disease
hsa-miR-29c,kidney cancer,miR2Disease
hsa-miR-29c,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-29c,neuroblastoma (NB),miR2Disease
hsa-miR-30a-3p,lung cancer,miR2Disease
hsa-miR-30e-3p,lung cancer,miR2Disease
hsa-miR-30e-5p,lung cancer,miR2Disease
hsa-miR-31,prostate cancer,miR2Disease
hsa-miR-324-3p,lung cancer,miR2Disease
hsa-miR-324-5p,lung cancer,miR2Disease
hsa-miR-330,prostate cance,miR2Disease
hsa-miR-335,lung cancer,miR2Disease
hsa-miR-338,lung cancer,miR2Disease
hsa-miR-339,lung cancer,miR2Disease
hsa-miR-340,kidney cancer,miR2Disease
hsa-miR-342-3p,kidney cancer,miR2Disease
hsa-miR-342-3p,prion disease,miR2Disease
hsa-miR-345,lung cancer,miR2Disease
hsa-miR-34a,Alzheimer's disease,miR2Disease
hsa-miR-221,coronary artery disease,miR2Disease
hsa-miR-221,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-222,tongue squamous cell carcinoma,miR2Disease
carcinoma cell lines.,,miR2Disease
hsa-miR-222,coronary artery disease,miR2Disease
hsa-miR-222,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-224,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-23b,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-24,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-25,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-26a,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-26a,bladder cancer,miR2Disease
hsa-miR-26a,glioma,miR2Disease
hsa-miR-27a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-29a,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-29c,bladder cancer,miR2Disease
hsa-miR-30-3p,bladder cancer,miR2Disease
hsa-miR-30b*,Malignant mesothelioma (MM),miR2Disease
hsa-miR-30c,bladder cancer,miR2Disease
hsa-miR-30e-5p,bladder cancer,miR2Disease
hsa-miR-31,breast cancer,miR2Disease
hsa-miR-32*,Malignant mesothelioma (MM),miR2Disease
hsa-miR-320,cardiomyopathy,miR2Disease
hsa-miR-320,renal clear cell carcinoma,miR2Disease
hsa-miR-338,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-338,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-340*,Malignant mesothelioma (MM),miR2Disease
hsa-miR-345,Malignant mesothelioma (MM),miR2Disease
hsa-miR-34a,retinoblastoma,miR2Disease
hsa-miR-34a*,Malignant mesothelioma (MM),miR2Disease
hsa-miR-34b,retinoblastoma,miR2Disease
hsa-miR-373,esophageal cancer,miR2Disease
hsa-miR-423,Malignant mesothelioma (MM),miR2Disease
hsa-miR-483-3p,Malignant mesothelioma (MM),miR2Disease
hsa-miR-485-3p,anxiety disorder,miR2Disease
hsa-miR-494,renal clear cell carcinoma,miR2Disease
hsa-miR-582,Malignant mesothelioma (MM),miR2Disease
hsa-miR-584,Malignant mesothelioma (MM),miR2Disease
hsa-miR-595,Malignant mesothelioma (MM),miR2Disease
hsa-miR-503,adrenocortical carcinoma,miR2Disease
hsa-miR-509,anxiety disorder,miR2Disease
hsa-miR-511,adrenocortical carcinoma,miR2Disease
hsa-miR-512-5p,gastric cancer (stomach cancer),miR2Disease
hsa-miR-615-3p,Malignant mesothelioma (MM),miR2Disease
hsa-miR-7-1*,Malignant mesothelioma (MM),miR2Disease
hsa-miR-765,anxiety disorder,miR2Disease
hsa-miR-885-3p,Malignant mesothelioma (MM),miR2Disease
hsa-miR-9,Malignant mesothelioma (MM),miR2Disease
hsa-miR-9-1,colorectal cancer,miR2Disease
hsa-miR-92a,acute myeloid leukemia (AML),miR2Disease
hsa-miR-93,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-9-3,breast cancer,miR2Disease
hsa-miR-145,prostate cancer,miR2Disease
hsa-miR-149,prostate cancer,miR2Disease
hsa-miR-150,kidney cancer,miR2Disease
hsa-miR-151-5p,kidney cancer,miR2Disease
hsa-miR-155,pancreatic cancer,miR2Disease
hsa-miR-15a,kidney cancer,miR2Disease
hsa-miR-153,glioblastoma,miR2Disease
hsa-miR-155,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-15a,lung cancer,miR2Disease
hsa-miR-15a,schizophrenia,miR2Disease
hsa-miR-15b,schizophrenia,miR2Disease
hsa-miR-16,lung cancer,miR2Disease
hsa-miR-17,kidney cancer,miR2Disease
hsa-miR-185,lung cancer,miR2Disease
hsa-miR-18a,breast cancer,miR2Disease
hsa-miR-18b,multiple sclerosis,miR2Disease
hsa-miR-191,kidney cancer,miR2Disease
hsa-miR-193b,breast cancer,miR2Disease
cancer.,,miR2Disease
hsa-miR-195,breast cancer,miR2Disease
hsa-miR-195,lung cancer,miR2Disease
hsa-miR-196a-2,breast cancer,miR2Disease
hsa-miR-197,lung cancer,miR2Disease
hsa-miR-199a,kidney cancer,miR2Disease
hsa-miR-19b,kidney cancer,miR2Disease
hsa-miR-200b,kidney cancer,miR2Disease
hsa-miR-9,ovarian cancer (OC),miR2Disease
hsa-miR-9,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-9,lung cancer,miR2Disease
hsa-miR-9*,lung cancer,miR2Disease
hsa-miR-93,lung cancer,miR2Disease
hsa-miR-96,breast cancer,miR2Disease
hsa-miR-96,multiple sclerosis,miR2Disease
hsa-miR-96,prostate cancer,miR2Disease
hsa-miR-98,lung cancer,miR2Disease
hsa-miR-182*,lung cancer,miR2Disease
hsa-let-7c,lung cancer,miR2Disease
hsa-miR-1,heart failure,miR2Disease
hsa-miR-1,rhabdomyosarcoma,miR2Disease
hsa-miR-101,lung cancer,miR2Disease
hsa-miR-101,kidney cancer,miR2Disease
hsa-miR-106a,kidney cancer,miR2Disease
hsa-miR-106b,kidney cancer,miR2Disease
hsa-miR-17-5p,lung cancer,miR2Disease
hsa-miR-181a,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-181b,prostate cancer,miR2Disease
hsa-miR-182,breast cancer,miR2Disease
hsa-miR-182,kidney cancer,miR2Disease
hsa-miR-181a-1,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-181a-2,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-181b,chronic lymphocytic leukemia (CLL),miR2Disease
hsa-miR-181b-1,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-181b-2,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-181c,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-133a,myeloproliferative disorder,miR2Disease
hsa-miR-133b,bladder cancer,miR2Disease
hsa-miR-137,colorectal cancer,miR2Disease
hsa-miR-138,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-143,T-cell leukemia,miR2Disease
hsa-miR-143,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-143,gastric cancer (stomach cancer),miR2Disease
hsa-miR-143,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-144*,Malignant mesothelioma (MM),miR2Disease
hsa-miR-145,vascular disease,miR2Disease
hsa-miR-145,bladder cancer,miR2Disease
hsa-miR-145,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-145,gastric cancer (stomach cancer),miR2Disease
hsa-miR-145,renal clear cell carcinoma,miR2Disease
hsa-miR-145,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-200b,malignant melanoma,miR2Disease
hsa-miR-200b,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-200c,colorectal cancer,miR2Disease
hsa-miR-200c,cancer,miR2Disease
hsa-miR-200c,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-200c,malignant melanoma,miR2Disease
hsa-miR-200c,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-200c,testicular germ cell tumor,miR2Disease
hsa-miR-202,breast cancer,miR2Disease
hsa-miR-202,prostate cancer,miR2Disease
hsa-miR-203,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-203,chronic myeloid leukemia (CML),miR2Disease
hsa-miR-203,psoriasis,miR2Disease
hsa-miR-203,skin disease,miR2Disease
hsa-miR-203,bladder cancer,miR2Disease
hsa-miR-203,breast cancer,miR2Disease
hsa-miR-203,lung cancer,miR2Disease
hsa-miR-203,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-26a,cardiac hypertrophy,miR2Disease
hsa-miR-26a,colorectal cancer,miR2Disease
hsa-miR-26a,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-26a,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-26a,pituitary adenoma,miR2Disease
hsa-miR-26a,primary biliary cirrhosis (PBC),miR2Disease
hsa-miR-26a,prostate cancer,miR2Disease
hsa-miR-26a,serous ovarian cancer,miR2Disease
hsa-miR-26a-1,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-26a-1,lung cancer,miR2Disease
hsa-miR-26a-1,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-26a-2,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-26b,Alzheimer's disease,miR2Disease
hsa-miR-26b,bladder cancer,miR2Disease
hsa-miR-26b,cardiac hypertrophy,miR2Disease
hsa-miR-26b,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-26b,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-26b,pituitary adenoma,miR2Disease
hsa-miR-26b,prostate cancer,miR2Disease
hsa-miR-26b,schizophrenia,miR2Disease
hsa-miR-27a,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-27a,acute myeloid leukemia (AML),miR2Disease
hsa-miR-32,pancreatic cancer,miR2Disease
hsa-miR-32,prostate cancer,miR2Disease
